# Output from hector version 1.1
run_name,Year,Ca,Ftot
rcp45_doeclim_BC_step_400%_in2010,1746,278.052,0
rcp45_doeclim_BC_step_400%_in2010,1747,278.052,0
rcp45_doeclim_BC_step_400%_in2010,1748,278.052,0
rcp45_doeclim_BC_step_400%_in2010,1749,278.052,0
rcp45_doeclim_BC_step_400%_in2010,1750,278.052,0
rcp45_doeclim_BC_step_400%_in2010,1751,278.052,-0.000564294
rcp45_doeclim_BC_step_400%_in2010,1752,278.052,-0.00109347
rcp45_doeclim_BC_step_400%_in2010,1753,278.052,-0.00159542
rcp45_doeclim_BC_step_400%_in2010,1754,278.052,-0.00207543
rcp45_doeclim_BC_step_400%_in2010,1755,278.052,-0.0025374
rcp45_doeclim_BC_step_400%_in2010,1756,278.052,-0.0029844
rcp45_doeclim_BC_step_400%_in2010,1757,278.052,-0.00341899
rcp45_doeclim_BC_step_400%_in2010,1758,278.052,-0.00384334
rcp45_doeclim_BC_step_400%_in2010,1759,278.052,-0.0042593
rcp45_doeclim_BC_step_400%_in2010,1760,278.052,-0.00466852
rcp45_doeclim_BC_step_400%_in2010,1761,278.052,-0.00507241
rcp45_doeclim_BC_step_400%_in2010,1762,278.052,-0.00547223
rcp45_doeclim_BC_step_400%_in2010,1763,278.052,-0.00586908
rcp45_doeclim_BC_step_400%_in2010,1764,278.052,-0.00626391
rcp45_doeclim_BC_step_400%_in2010,1765,278.052,-0.00665757
rcp45_doeclim_BC_step_400%_in2010,1766,278.106,0.110575
rcp45_doeclim_BC_step_400%_in2010,1767,278.22,0.228864
rcp45_doeclim_BC_step_400%_in2010,1768,278.343,0.196184
rcp45_doeclim_BC_step_400%_in2010,1769,278.471,0.133052
rcp45_doeclim_BC_step_400%_in2010,1770,278.6,0.131284
rcp45_doeclim_BC_step_400%_in2010,1771,278.733,0.186498
rcp45_doeclim_BC_step_400%_in2010,1772,278.869,0.224336
rcp45_doeclim_BC_step_400%_in2010,1773,279.009,0.240425
rcp45_doeclim_BC_step_400%_in2010,1774,279.153,0.247877
rcp45_doeclim_BC_step_400%_in2010,1775,279.302,0.251073
rcp45_doeclim_BC_step_400%_in2010,1776,279.457,0.254421
rcp45_doeclim_BC_step_400%_in2010,1777,279.618,0.257913
rcp45_doeclim_BC_step_400%_in2010,1778,279.782,0.261476
